country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.265194,87.012947,PM2.5,13,250,65
India,Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB","31-05-2026 10:00:00",25.265194,87.012947,NH3,1,8,2
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","31-05-2026 10:00:00",29.4723508,77.7194031,PM2.5,17,202,69
India,Uttar_Pradesh,Muzaffarnagar,"New Mandi, Muzaffarnagar - UPPCB","31-05-2026 10:00:00",29.4723508,77.7194031,SO2,15,26,22
India,Bihar,"Bihar Sharif","D M Colony, Bihar Sharif - BSPCB","31-05-2026 10:00:00",25.204762,85.514960,PM10,10,74,41
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","31-05-2026 10:00:00",11.55358,76.55521,NH3,1,3,2
India,Bihar,Buxar,"Charitra Van, Buxar - BSPCB","31-05-2026 10:00:00",25.567520,83.966379,NH3,3,3,3
India,Uttar_Pradesh,Noida,"Sector - 125, Noida - UPPCB","31-05-2026 10:00:00",28.5447608,77.3231257,OZONE,13,116,28
India,Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB","31-05-2026 10:00:00",11.55358,76.55521,OZONE,21,38,26
India,Karnataka,Chikkaballapur,"Chikkaballapur Rural, Chikkaballapur - KSPCB","31-05-2026 10:00:00",13.428828,77.731418,OZONE,46,59,50
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","31-05-2026 10:00:00",13.328028,75.797056,NH3,NA,NA,NA
India,Karnataka,Chikkamagaluru,"Kalyana Nagara, Chikkamagaluru - KSPCB","31-05-2026 10:00:00",13.328028,75.797056,CO,NA,NA,NA
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","31-05-2026 10:00:00",15.459706,75.008381,PM2.5,59,87,72
India,Karnataka,Dharwad,"Kalabhavan, Dharwad - KSPCB","31-05-2026 10:00:00",15.459706,75.008381,PM10,78,114,97
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","31-05-2026 10:00:00",28.569230,77.393848,NO2,11,62,34
India,Bihar,Gaya,"Collectorate, Gaya - BSPCB","31-05-2026 10:00:00",24.7955,84.9994,PM2.5,8,52,18
India,Uttar_Pradesh,Noida,"Sector-116, Noida - UPPCB","31-05-2026 10:00:00",28.569230,77.393848,NH3,10,19,13
